name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
virudhunagar,2025-10-03,94.6,80.5,86.7,94.7,82.7,88.3,64.5,49,0,12.9,0,,0,0,8.1,6.3,270.3,1008.8,100,15,194.4,16.8,7,10,2025-10-03T06:06:35,2025-10-03T18:07:50,0.37,Overcast,Cloudy skies throughout the day.,cloudy,
virudhunagar,2025-10-04,94.9,80.5,86.9,95.5,82.7,88.8,65,49.6,0,25.8,0,,0,0,13.4,11.4,126.1,1008.5,96.2,15,234.3,20.3,8,10,2025-10-04T06:06:32,2025-10-04T18:07:16,0.41,Overcast,Cloudy skies throughout the day.,cloudy,
virudhunagar,2025-10-05,98,81.4,87.1,100.3,84.8,90.6,68,54.6,0.111,48.4,8.33,rain,0,0,19.2,17.4,95.3,1007.6,77.1,15,265.5,23.2,9,30,2025-10-05T06:06:29,2025-10-05T18:06:42,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
virudhunagar,2025-10-06,95.6,80.1,86.2,97.4,83.3,89.4,68.1,56.5,0.142,45.2,16.67,rain,0,0,14.3,13,101.7,1008.3,84.3,15,265.5,22.8,9,10,2025-10-06T06:06:27,2025-10-06T18:06:08,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,
virudhunagar,2025-10-07,87.5,78.3,83.4,89.1,78.3,85.7,67.5,59.7,0.082,35.5,16.67,rain,0,0,14.5,11.2,198.9,1009.7,82.4,14.7,160.5,14,5,30,2025-10-07T06:06:25,2025-10-07T18:05:35,0.5,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,
virudhunagar,2025-10-08,88.6,78.9,83,91.5,78.9,85.6,69.2,64,0.004,54.8,4.17,rain,0,0,11.4,8.5,140.1,1010,85.3,15,126.6,10.8,5,30,2025-10-08T06:06:23,2025-10-08T18:05:03,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
virudhunagar,2025-10-09,92.4,79.1,85.3,96.4,79.1,89.2,69.8,60.9,0.048,41.9,12.5,rain,0,0,14.8,13.2,118,1009.1,74,14.8,201.1,17.6,8,30,2025-10-09T06:06:22,2025-10-09T18:04:31,0.57,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,
virudhunagar,2025-10-10,95.4,78.2,85.6,97.6,78.2,88.9,69.1,59.9,0.385,41.9,16.67,rain,0,0,21,18.3,152.5,1008.1,96.7,13.4,228.1,19.5,8,30,2025-10-10T06:06:21,2025-10-10T18:03:59,0.61,Overcast,Cloudy skies throughout the day with storms possible.,cloudy,
tamilnadu,2025-09-26,92.9,80.5,86,104.8,85.9,92.7,73.2,67.4,0.012,100,8.33,rain,0,,25.1,18.6,273.8,1004,74.3,9.2,163,14,8,10,2025-09-26T05:58:02,2025-09-26T18:02:20,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOMM,remote"
tamilnadu,2025-09-27,93.3,81.6,86.1,97.6,85,90.4,69.3,57.9,0.048,45.2,25,rain,0,,28,19,266.4,1005.2,95.9,14.9,192.5,16.7,9,10,2025-09-27T05:58:03,2025-09-27T18:01:38,0.18,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,
tamilnadu,2025-09-28,92.4,80.3,86,97.4,82.6,90.3,68.9,57.1,0.004,77.4,4.17,rain,0,,33.3,18.8,244.7,1005.7,78,15,187,16.5,9,30,2025-09-28T05:58:04,2025-09-28T18:00:56,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
tamilnadu,2025-09-29,93.1,81.6,86.5,97.5,84.1,90.8,69.1,56.5,0.055,77.4,16.67,rain,0,,32.7,20.1,263.3,1005.3,90.5,14.9,192.7,16.7,9,30,2025-09-29T05:58:06,2025-09-29T18:00:14,0.24,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
tamilnadu,2025-09-30,95.1,80.5,87.1,98.6,82.8,90.6,67.7,53.5,0.004,48.4,4.17,rain,0,,28.9,19,261.9,1004,93.6,15,232.7,20,10,30,2025-09-30T05:58:08,2025-09-30T17:59:33,0.25,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
tamilnadu,2025-10-01,92.4,81.1,85,96.8,83,88.9,68.7,58.7,0.02,61.3,12.5,rain,0,,30,18.3,254,1004,81.9,15,141.8,12.5,5,30,2025-10-01T05:58:10,2025-10-01T17:58:52,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
tamilnadu,2025-10-02,92.4,80.7,85.2,98.1,82.9,89.4,69.4,60,0.157,77.4,12.5,rain,0,,28.4,17,249.3,1005.7,91.8,13.8,204.4,17.7,8,30,2025-10-02T05:58:12,2025-10-02T17:58:11,0.34,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
tamilnadu,2025-10-03,93.3,80,85.5,98.7,80,89.9,69.6,60,0.04,83.9,20.83,rain,0,,25.9,16.8,228,1007.4,100,15,211.9,18.8,8,30,2025-10-03T05:58:15,2025-10-03T17:57:30,0.37,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
tamilnadu,2025-10-04,90.8,81.4,85.2,95.7,84.2,90.3,70.8,62.7,0.09,96.8,16.67,rain,0,,19.7,13.4,210.8,1007.5,99.8,14.4,192.3,16.5,7,30,2025-10-04T05:58:18,2025-10-04T17:56:50,0.41,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
tamilnadu,2025-10-05,88.8,80.5,84.1,96.2,84.5,90.6,73.1,69.8,0.1,90.3,29.17,rain,0,,17.9,16.3,179.4,1007.2,91.3,15,199.3,17.3,6,60,2025-10-05T05:58:21,2025-10-05T17:56:10,0.44,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
tamilnadu,2025-10-06,87.9,81.1,84.1,95.2,86,90.8,73.6,70.9,0.283,83.9,16.67,rain,0,,15.4,15.4,153.5,1008.7,23.5,14.3,279.1,24,8,60,2025-10-06T05:58:24,2025-10-06T17:55:31,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
tamilnadu,2025-10-07,86.1,81.4,83.7,94,86.9,90.5,73.8,72.2,0.178,93.5,25,rain,0,,12.8,13.4,137.8,1009.1,46.1,14.7,275.9,23.7,9,60,2025-10-07T05:58:28,2025-10-07T17:54:52,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
tamilnadu,2025-10-08,88.4,80.9,83.8,95.6,85.9,90.2,73.4,71.3,0.051,87.1,12.5,rain,0,,15.9,13.9,159.8,1009.5,60.2,14.8,243.3,21.2,7,60,2025-10-08T05:58:32,2025-10-08T17:54:13,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
tamilnadu,2025-10-09,90.2,80,84.1,97.5,80,90.6,73.7,71.6,0.087,87.1,20.83,rain,0,,16.1,14.5,181.7,1008.4,88.8,13.8,228.6,19.7,8,75,2025-10-09T05:58:37,2025-10-09T17:53:35,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with strong storms possible.,rain,
tamilnadu,2025-10-10,89.1,79.4,83.9,97.2,79.4,89.6,73.1,70.3,0.052,77.4,20.83,rain,0,,17.2,11,216.4,1007.1,92.5,14.9,122.8,11,5,60,2025-10-10T05:58:42,2025-10-10T17:52:58,0.61,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
rajapalayam,2025-09-26,89.5,73.8,80.2,102.3,73.8,83,70.4,73.8,0,0,0,,0,0,18.3,10.3,267,1007.7,80.2,9.6,186.2,16.1,7,10,2025-09-26T06:08:39,2025-09-26T18:13:35,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOMD,remote"
rajapalayam,2025-09-27,87.5,73.1,78.2,88.2,73.1,78.6,64.8,64.8,0.008,3.2,8.33,rain,0,0,19.5,9.2,281.5,1008.8,92.2,15,205.1,17.7,9,10,2025-09-27T06:08:34,2025-09-27T18:12:59,0.18,Overcast,Cloudy skies throughout the day.,cloudy,
rajapalayam,2025-09-28,87.2,72.9,78.4,87.8,72.9,78.8,64.2,63,0.008,16.1,8.33,rain,0,0,18.8,9.4,274.8,1009.3,90.8,15,255.1,22,9,10,2025-09-28T06:08:29,2025-09-28T18:12:24,0.21,Overcast,Cloudy skies throughout the day.,cloudy,
rajapalayam,2025-09-29,87.9,72.9,78.6,88,72.9,78.8,63.7,61.9,0.008,71,8.33,rain,0,0,19.9,9.8,275.8,1009,91.3,15,272.3,23.6,10,5,2025-09-29T06:08:25,2025-09-29T18:11:48,0.24,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,
rajapalayam,2025-09-30,89,72.1,79.1,88.7,72.1,79.2,63.1,60,0.004,32.3,4.17,rain,0,0,18.3,10.1,276.7,1007.7,67.5,15,289.7,24.8,10,10,2025-09-30T06:08:20,2025-09-30T18:11:13,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
rajapalayam,2025-10-01,88.4,72.2,79.3,88.4,72.2,79.4,63,59.1,0,35.5,0,,0,0,18.6,10.1,279.6,1007.5,76.7,15,293,25.7,9,10,2025-10-01T06:08:16,2025-10-01T18:10:38,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
rajapalayam,2025-10-02,89.1,72.4,79.2,89.4,72.4,79.4,63.7,60.7,0,16.1,0,,0,0,13.4,9.2,283.5,1008.8,100,15,237.4,20.4,8,10,2025-10-02T06:08:12,2025-10-02T18:10:03,0.34,Overcast,Cloudy skies throughout the day.,cloudy,
rajapalayam,2025-10-03,87.3,73.7,78.6,87.2,73.7,78.8,63.2,60.4,0,19.4,0,,0,0,11.6,7.8,286.5,1010.1,100,15,122.4,10.5,4,10,2025-10-03T06:08:09,2025-10-03T18:09:29,0.37,Overcast,Cloudy skies throughout the day.,cloudy,
rajapalayam,2025-10-04,91.1,72.4,80.8,90.9,72.4,81.1,63.1,56.7,0.004,51.6,4.17,rain,0,0,9.8,7.2,299.9,1009.3,97.9,15,232.8,20.4,8,10,2025-10-04T06:08:05,2025-10-04T18:08:55,0.41,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,
rajapalayam,2025-10-05,90.1,74.2,81.3,90.4,74.2,81.9,64.2,57.7,0.087,61.3,12.5,rain,0,0,7,5.1,305.7,1008.8,76.6,14.1,219,19.2,8,10,2025-10-05T06:08:03,2025-10-05T18:08:21,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
rajapalayam,2025-10-06,88.6,73.7,80.6,89.4,73.7,81.3,64.8,60.2,0.052,51.6,16.67,rain,0,0,8.9,7.2,289.7,1009.8,88.8,15,208.6,18.2,8,10,2025-10-06T06:08:00,2025-10-06T18:07:48,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
rajapalayam,2025-10-07,83.6,70.4,76.6,85.2,70.4,77,66.1,70.5,0.713,54.8,20.83,rain,0,0,11.2,7.6,274.3,1011,80.3,13.4,151.4,13.2,6,10,2025-10-07T06:07:58,2025-10-07T18:07:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
rajapalayam,2025-10-08,85.6,72.2,78.4,86.9,72.2,78.9,64.9,64.4,0.016,54.8,8.33,rain,0,0,4.9,5.1,247.2,1011,89,15,207.8,18,8,10,2025-10-08T06:07:56,2025-10-08T18:06:42,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
rajapalayam,2025-10-09,87.2,73.5,79.7,89.4,73.5,80.8,66.9,66.2,0.24,58.1,16.67,rain,0,0,6.3,5.4,277.9,1010.2,62.7,14,239.6,20.6,8,30,2025-10-09T06:07:54,2025-10-09T18:06:10,0.57,"Rain, Partially cloudy",Becoming cloudy in the afternoon with storms possible.,rain,
rajapalayam,2025-10-10,88.4,72.9,79.4,90,72.9,80.3,66.3,65.5,0.095,41.9,20.83,rain,0,0,8.3,5.8,286.5,1009.6,98.3,14,208.8,18,7,30,2025-10-10T06:07:53,2025-10-10T18:05:39,0.61,Overcast,Cloudy skies throughout the day with storms possible.,cloudy,
india,2025-09-26,98.1,76.9,87.9,100.7,76.9,90.2,67.9,56.5,0,0,0,,0,0,14.8,11.6,316,1005.6,0.4,8.9,239.8,20.7,8,10,2025-09-26T06:11:31,2025-09-26T18:13:08,0.14,Clear,Clear conditions throughout the day.,clear-day,"VIDP,remote"
india,2025-09-27,99.2,80.9,89.7,97.9,82.6,90.2,61.5,40.9,0,0,0,,0,0,8.1,7.2,6.9,1005.8,0.3,15,240.4,20.7,8,10,2025-09-27T06:12:01,2025-09-27T18:11:56,0.18,Clear,Clear conditions throughout the day.,clear-day,
india,2025-09-28,100.3,84.1,91.7,106.5,89.5,97.7,70,50.4,0,6.5,0,,0,0,15.2,8.9,104.7,1004.6,44.1,15,209.1,18,8,60,2025-09-28T06:12:32,2025-09-28T18:10:45,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
india,2025-09-29,99.1,85.7,91.6,104.3,91.8,97.6,70.1,50.5,0.004,45.2,4.17,rain,0,0,16.6,10.3,96.9,1003.3,13.1,15,220.5,19.2,8,60,2025-09-29T06:13:03,2025-09-29T18:09:34,0.24,Rain,Clear conditions throughout the day with storms possible.,rain,
india,2025-09-30,101.4,86.8,92.5,102.8,90.6,96,66.4,44.1,0,22.6,0,,0,0,12.1,11.4,49.2,1000.3,0.3,15,228.3,19.9,8,30,2025-09-30T06:13:34,2025-09-30T18:08:23,0.25,Clear,Clear conditions throughout the day.,clear-day,
india,2025-10-01,100.1,85,91.3,99.4,86.7,92.4,62.7,39.8,0,25.8,0,,0,0,13.4,10.5,10.4,999.4,0,15,230.3,19.5,8,10,2025-10-01T06:14:05,2025-10-01T18:07:13,0.31,Clear,Clear conditions throughout the day.,clear-day,
india,2025-10-02,99.4,82.7,89.6,97.4,83.6,89.9,60.9,39.9,0,12.9,0,,0,0,18.8,12.1,87.2,1002.6,0,15,229.5,19.5,8,10,2025-10-02T06:14:37,2025-10-02T18:06:03,0.34,Clear,Clear conditions throughout the day.,clear-day,
india,2025-10-03,98,81.1,88.4,98.5,83.9,90.6,65.5,48.6,0,19.4,0,,0,0,17,10.7,105.8,1005.8,0.6,15,225.6,19.5,7,10,2025-10-03T06:15:09,2025-10-03T18:04:53,0.37,Clear,Clear conditions throughout the day.,clear-day,
india,2025-10-04,99.8,84.1,90.1,100,87.1,91.8,64.1,43.5,0,9.7,0,,0,0,20.4,12.6,125.4,1005.2,4.3,15,222.3,19.2,7,10,2025-10-04T06:15:41,2025-10-04T18:03:44,0.41,Clear,Clear conditions throughout the day.,clear-day,
india,2025-10-05,89.7,78.2,83.6,93,78.2,86,68.2,60.6,0,6.5,0,,0,0,18.1,12.8,120.3,1007.8,4.3,15,219.1,18.6,7,10,2025-10-05T06:16:13,2025-10-05T18:02:35,0.44,Clear,Clear conditions throughout the day.,clear-day,
india,2025-10-06,93.6,76.6,84.2,95.7,76.6,85.8,67.5,59.2,0,12.9,0,,0,0,15.4,10.7,124.9,1007.8,2.4,15,218.1,18.6,7,10,2025-10-06T06:16:46,2025-10-06T18:01:26,0.47,Clear,Clear conditions throughout the day.,clear-day,
india,2025-10-07,95.8,79.6,87.2,97.8,79.6,89.6,66.3,51.6,0,9.7,0,,0,0,13,9.2,124.4,1007.6,0.6,15,216.3,18.6,7,10,2025-10-07T06:17:19,2025-10-07T18:00:18,0.5,Clear,Clear conditions throughout the day.,clear-day,
india,2025-10-08,97.2,81.8,88.6,94.8,84,88.7,60.3,40.7,0.016,6.5,4.17,rain,0,0,19.5,11.9,331.4,1007.6,18.9,15,218.1,18.9,7,10,2025-10-08T06:17:52,2025-10-08T17:59:11,0.54,Clear,Clear conditions throughout the day.,clear-day,
india,2025-10-09,95.8,81.6,87.8,92.7,81.2,85.9,52.9,31.3,0,6.5,0,,0,0,25.5,14.3,312.8,1007.1,10.1,15,217.8,18.9,7,10,2025-10-09T06:18:26,2025-10-09T17:58:04,0.57,Clear,Clear conditions throughout the day.,clear-day,
india,2025-10-10,96,78.2,86.1,91.7,78.2,83.8,46.6,26.5,0,3.2,0,,0,0,19.7,12.8,317.6,1006.5,0,15,223.5,19.2,7,10,2025-10-10T06:19:00,2025-10-10T17:56:58,0.61,Clear,Clear conditions throughout the day.,clear-day,
